Code,Description,Work Type,Labor Hours,FRT
10101812902,ASSEMBLY - RAIL TO REAR QUARTER LOWER EXTENSION - LEFT HAND,Remove and Replace,1.38,1.38
10101813002,ASSEMBLY - RAIL TO REAR QUARTER LOWER EXTENSION - RIGHT HAND,Remove and Replace,1.38,1.38
10101813102,ASSEMBLY - REAR FASCIA BRACKET - LEFT HAND,Remove and Replace,1.44,1.44
10101813202,ASSEMBLY - REAR FASCIA BRACKET - RIGHT HAND,Remove and Replace,1.44,1.44
10101813302,ASSEMBLY - REAR FRAMERAIL COMPLETE - LEFT HAND,Remove and Replace,58.7,58.7
10101813402,ASSEMBLY - REAR FRAMERAIL COMPLETE - RIGHT HAND,Remove and Replace,58.7,58.7
10101813502,ASSEMBLY - REAR MOTOR COVER,Remove and Replace,2.76,2.76
10101813602,ASSEMBLY - REAR RAIL GLOVE - LOWER,Remove and Replace,10.4,10.4
10101813702,ASSEMBLY - REAR RAIL UPPER - LEFT HAND,Remove and Replace,20.6,20.6
10101813802,ASSEMBLY - REAR RAIL UPPER - RIGHT HAND,Remove and Replace,20.6,20.6
10101813902,ASSEMBLY - REAR ROW SEAT SUBFRAME LOWER CROSSMEMBER,Remove and Replace,8.95,8.95
10101814002,ASSEMBLY - REAR ROW SEAT SUBFRAME UPPER CROSSMEMBER,Remove and Replace,6.85,6.85
10101814102,ASSEMBLY - REAR SUBFRAME LOWER CROSSMEMBER,Remove and Replace,7.85,7.85
10101814202,ASSEMBLY - REAR SUBFRAME MOUNT - LEFT HAND,Remove and Replace,11.0,11.0
10101814302,ASSEMBLY - REAR SUBFRAME MOUNT - RIGHT HAND,Remove and Replace,11.0,11.0
10101814502,"ASSEMBLY, LAMP CAN, LEFT",Remove and Replace,5.1,5.1
10101814602,"ASSEMBLY, LAMP CAN, RIGHT",Remove and Replace,5.1,5.1
10101814702,"ASSEMBLY, TRUNK FLOOR",Remove and Replace,4.2,4.2
10101814802,"ASSEMBLY-RR SPRING & SUBFR MT,LEFT HAND",Remove and Replace,18.35,18.35
10101814902,"ASSEMBLY-RR SPRING & SUBFR MT,RIGHT HAND",Remove and Replace,18.35,18.35
10101815102,"ASY,CROSSMEMBER HEELBOARD E-COATED",Remove and Replace,3.96,3.96
