id,code,name,workType,modelID,modelName,frt,chargedHours,procedureURL
37456,10011229,RH corner of the rear fascia Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.28,0.28,
37457,10011230,Applique Rear Spoiler Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,1.99,1.99,
37458,10011231,Applique Rear Spoiler Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,0.2,0.2,
37459,10011232,Applique Rear Spoiler fascia Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.46,0.46,
37460,10011233,Applique Rear Spoiler fascia Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.45,0.45,
37461,10011234,Applique Rear Spoiler fascia Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.52,0.52,
37462,10011235,Applique Rear Spoiler Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.36,0.36,
37463,10011236,Applique Rear Spoiler Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,2.4,2.4,
37464,10011237,Applique Rear Spoiler Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,0.2,0.2,
37465,10011238,Applique Rear Spoiler Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.32,0.32,
37466,10011239,Applique Rear Spoiler Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.31,0.31,
37467,10011240,Applique Rear Spoiler Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.63,0.63,
37468,10011241,Applique Rear Spoiler Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.43,0.43,
38325,10011400202,Rear Upper Fascia - Left Hand,Remove and Replace,36,2025+ Model Y,0.48,0.48,
38326,10011400302,Rear Upper Fascia - Right Hand,Remove and Replace,36,2025+ Model Y,0.48,0.48,
49155,10011400401,2025+ Model Y Full-width crash repair test of the rear bumper of the vehicle 10KM/H,Remove and Install,36,2025+ Model Y,0.0,0.0,
49156,10011400402,2025+ Model Y Full-width crash repair test of the rear bumper of the vehicle 10KM/H,Remove and Replace,36,2025+ Model Y,0.0,0.0,
47811,10011400501,Rear Fascia Assembly (Model Y Standard) ,Remove and Install,36,2025+ Model Y,0.48,0.48,
47814,10011400502,Rear Fascia Assembly (Model Y Standard) ,Remove and Replace,36,2025+ Model Y,0.48,0.48,
47812,10011400601,Fascia - Rear - Upper  - LH (Model Y Standard) ,Remove and Install,36,2025+ Model Y,0.54,0.54,
47815,10011400602,Fascia - Rear - Upper  - LH (Model Y Standard) ,Remove and Replace,36,2025+ Model Y,0.54,0.54,
47813,10011400701,Fascia - Rear - Upper  - RH (Model Y Standard) ,Remove and Install,36,2025+ Model Y,0.54,0.54,
47816,10011400702,Fascia - Rear - Upper  - RH (Model Y Standard) ,Remove and Replace,36,2025+ Model Y,0.54,0.54,
47817,10011500001,Bumper Beam - Rear (Model Y Standard) ,Remove and Install,36,2025+ Model Y,0.6,0.6,
47818,10011500002,Bumper Beam - Rear (Model Y Standard) ,Remove and Replace,36,2025+ Model Y,0.6,0.6,
38160,10018928,Visual Paint Inspection,Inspection,36,2025+ Model Y,0.2,0.2,
35769,10100008,Tesla Body Repair - Mechanical Labor,Body Shop,36,2025+ Model Y,0.0,0.0,
47396,101000128,Seat Protectiong Coating - 5 seats (Korea),Maintenance,36,2025+ Model Y,0.45,0.45,
41385,10100101302,ROOF RACK BRACKET - FRONT - LEFT HAND,Remove and Replace,36,2025+ Model Y,2.46,2.46,
49262,1010010302,Front Door LH Replacement and Paint,Remove and Replace,36,2025+ Model Y,3.72,3.72,
37913,1010010303,Front Door LH Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,3.76,3.76,
48191,10100107101,Liftgate (Model Y L),Remove and Install,36,2025+ Model Y,0.84,0.84,
42182,10100116502,SIDE SILL INSERT SERVICE E-COATED,Remove and Replace,36,2025+ Model Y,22.9,22.9,
42290,10100117402,Quarter Outer Assembly (Without Upper Trough)(Dogleg Section),Remove and Replace,36,2025+ Model Y,9.7,9.7,
42291,10100117502,Quarter Outer Assembly (Without Upper Trough)(Dogleg Section),Remove and Replace,36,2025+ Model Y,9.7,9.7,
42292,10100117602,Quarter Outer Assembly (Without Upper Trough)(Rear Sill Section),Remove and Replace,36,2025+ Model Y,14.5,14.5,
42293,10100117702,Quarter Outer Assembly (Without Upper Trough)(Rear Sill Section),Remove and Replace,36,2025+ Model Y,14.5,14.5,
41098,10100117902,ASSEMBLY - BODY SIDE OUTER - LEFT HAND,Remove and Replace,36,2025+ Model Y,15.75,15.75,
41100,10100118002,ASSEMBLY - BODY SIDE OUTER - RIGHT HAND,Remove and Replace,36,2025+ Model Y,15.75,15.75,
41202,10100118302,ASSEMBLY - REAR QUARTER OUTER - LEFT HAND,Remove and Replace,36,2025+ Model Y,21.35,21.35,
41203,10100118402,ASSEMBLY - REAR QUARTER OUTER - RIGHT HAND,Remove and Replace,36,2025+ Model Y,21.35,21.35,
41235,10100118502,ASSEMBLY - SILL INNER LOWER EXTENSION - LEFT HAND,Remove and Replace,36,2025+ Model Y,72.0,72.0,
