Code,Description,Work Type,Labor Hours,FRT
00020003,Firmware Update,Over The Air,0.06,0.06
00020006,Firmware Update - Comfort Package Retrofit,Retrofit,0.0,0.0
00020007,Firmware Update - Garage,Update,0.05,0.05
00020008,Firmware Reinstall - Toolbox,Restore,0.06,0.06
00020010,Remote – Known Characteristic of Current Firmware,Over The Air,0.25,0.25
00020018,Firmware Reinstall - Touchscreen,Restore,0.05,0.05
00020020,Remote – Over the Air Update,Over The Air,0.25,0.25
00020104,Additional Work Required - Firmware Update/Reinstall Troubleshooting,General Diagnosis,0.0,0.0
00021003,Firmware Redeploy - Touchscreen,Module Reset/Reflashed,0.05,0.05
00022008,User Data (Factory Reset),Restore,0.05,0.05
